epoch,loss_train,loss_eval,f1_train,f1_eval,duration
1,0.7206688702106475,0.6872866087436683,0.4000000000000001,0.5294,0:02:28.629646
2,0.6892399430274964,0.7017854641199115,0.6,0.4954,0:02:28.187644
3,0.6448352009057998,0.6944569198369975,0.6,0.4954,0:02:29.250386
4,0.6384578287601471,0.6750243592023832,0.6,0.513,0:02:30.030596
5,0.6056626796722413,0.6711903221845626,0.6,0.5214,0:02:30.085094
6,0.5950855255126953,0.6693387343406679,0.625,0.5272,0:02:30.385961
7,0.5538990914821625,0.6412091161251068,0.675,0.6402,0:02:30.784991
8,0.5234891802072525,0.6294899701118473,0.85,0.6618,0:02:29.287499
9,0.49305901229381566,0.6159358448266984,0.9,0.684,0:02:29.071688
10,0.4613433361053467,0.6034727792739875,0.85,0.6964,0:02:29.617321
11,0.4279466956853867,0.5929935829639444,0.9,0.7014,0:02:29.018147
12,0.4072321802377701,0.5834567069649699,0.9,0.7066,0:02:27.981116
13,0.38477527201175693,0.6021850626707081,0.9,0.672,0:02:29.282953
14,0.34507353901863097,0.5698389151692388,0.9,0.7094,0:02:28.404054
15,0.30145495533943173,0.561679444539548,0.9,0.7218,0:02:29.139442
16,0.30876155793666843,0.5693896471977233,0.875,0.7092,0:02:28.333295
17,0.26358807533979417,0.5650353074848653,0.9,0.7124,0:02:28.100935
18,0.26216568797826767,0.5644404897630206,0.9500000000000001,0.7164,0:02:27.757082
19,0.24598871469497682,0.5588301633477221,0.9500000000000001,0.72,0:02:28.309698
20,0.23946207836270333,0.5638863845229153,0.925,0.7188000000000001,0:02:29.309673
21,0.17421318218111992,0.5627685821115972,1.0,0.7184,0:02:28.084392
22,0.19730033129453659,0.5650708530545235,0.9500000000000001,0.7236,0:02:27.833459
23,0.17150966338813306,0.5748567751169199,0.975,0.7184,0:02:28.922865
24,0.1503619346767664,0.5706301717430359,0.975,0.7258000000000001,0:02:27.414042
25,0.13786643445491792,0.5787812722802179,1.0,0.7250000000000001,0:02:27.938607
