label,tp,fp,tn,fn,prec,rec,f1,acc
AVG,31712,8288,31712,8288,0.7928,0.7928,0.7928,0.7928
negative,16176,4427,15536,3861,0.7851283793622288,0.807306483006438,0.7960629921259842,0.7928
positive,15536,3861,16176,4427,0.8009486002990153,0.7782397435255222,0.789430894308943,0.7928
