label,tp,fp,tn,fn,prec,rec,f1,acc
AVG,3258,742,3258,742,0.8145,0.8145,0.8145,0.8145
negative,1628,408,1630,334,0.7996070726915521,0.8297655453618756,0.814407203601801,0.8145
positive,1630,334,1628,408,0.829938900203666,0.7998037291462218,0.8145927036481759,0.8145
