,dim,dispersion_positive,dispersion_negative,distance
0,768,2522509.6895521567,1890410.8304418016,11.647890188296975
1,576,2522973.1151054217,1890730.5723274928,11.650851920179237
2,384,2522781.8869401766,1890579.2706092799,11.651119425844033
3,192,2522102.899012474,1889882.4894144533,11.653347728883427
4,96,2520431.003721712,1888266.2994815856,11.66010577769349
5,48,2516739.7636796376,1884904.3328353697,11.67447254537323
6,24,2509036.2928402373,1877355.5296283015,11.702982033810756
7,12,2489278.55350164,1859477.7865334074,11.784166517764266
8,6,2438433.205819055,1812339.9342665859,11.99111678328287
9,3,2300045.0961159375,1676438.2943607692,12.581335121694497
