epoch,loss_train,loss_eval,f1_train,f1_eval,duration
1,0.35316010298304795,0.2820345279531109,0.8415964303420922,0.8755575379125781,0:00:04.515380
2,0.3133248478740976,0.2828468760134468,0.8688646504709965,0.8826940231935771,0:00:04.395501
3,0.30207422517369925,0.27219602717480185,0.8720376797223599,0.8853702051739518,0:00:04.390960
4,0.29214283448486067,0.28121825569952036,0.8788795240456124,0.8760035682426405,0:00:04.441825
5,0.28927409091577644,0.25745940984974447,0.8770946950917203,0.8911685994647636,0:00:04.430099
6,0.28304922677541106,0.3137922652170692,0.8825979176995538,0.868421052631579,0:00:04.474433
7,0.27992195521500496,0.3206915318126409,0.8798215171046107,0.8666369313113292,0:00:04.442802
8,0.2762002608725556,0.2658139796743928,0.8841348537431829,0.8951828724353255,0:00:04.477734
9,0.27320752847827556,0.25489163710932494,0.882350024789291,0.8898305084745762,0:00:04.429883
10,0.27059841849700933,0.25379599335039377,0.8869608329201786,0.8938447814451382,0:00:04.435675
11,0.26566418350073484,0.2729912392900024,0.8881011403073872,0.8929527207850134,0:00:04.449781
12,0.26270754679022096,0.2558333073598399,0.8888448190381755,0.8916146297948261,0:00:04.411537
13,0.2566740591722509,0.2582075233820459,0.8929102627664849,0.8942908117752008,0:00:04.413180
14,0.25849960220714957,0.2559685127311189,0.8901834407535945,0.8942908117752008,0:00:04.463781
15,0.25280782523108936,0.250623266199525,0.8939018344075359,0.8916146297948261,0:00:04.431313
16,0.2510940127676904,0.25001151228658064,0.8945463559742192,0.8938447814451382,0:00:04.429111
17,0.24821227492555029,0.2596605352952446,0.894000991571641,0.8938447814451382,0:00:04.430929
18,0.24195457445885593,0.25907110412355877,0.8985126425384234,0.8965209634255129,0:00:04.456688
19,0.2415696557924127,0.2590595689457907,0.8980664352999504,0.8996431757359501,0:00:04.433699
20,0.23803820948687662,0.2551477995871657,0.8994546355974219,0.8965209634255129,0:00:04.438165
21,0.23591586150429725,0.25898266200658315,0.9000495785820526,0.8902765388046388,0:00:04.474659
22,0.2339475503702029,0.25850445756190266,0.9007932573128409,0.8907225691347012,0:00:04.420684
23,0.23146911053999483,0.2566055298410276,0.9017848289538919,0.8996431757359501,0:00:04.420861
24,0.23028289250403697,0.25140829604696224,0.90233019335647,0.8947368421052632,0:00:04.438223
25,0.22481730099171163,0.3203867563951604,0.9049082796232027,0.8965209634255129,0:00:04.476954
26,0.22645250596873545,0.26525226878461405,0.9043133366385722,0.8965209634255129,0:00:04.412906
27,0.22243061411694845,0.27961579725329927,0.9047099652949926,0.8969669937555754,0:00:04.403118
28,0.21686135394507555,0.2827177561071872,0.9075855230540406,0.8884924174843889,0:00:04.445519
29,0.21314793881825908,0.28610603705468307,0.9091224590976698,0.9014272970561998,0:00:04.422541
30,0.21073229956881914,0.3132826464454001,0.9083292017848289,0.8947368421052632,0:00:04.409223
31,0.21092022249619777,0.2852890750944194,0.9091224590976698,0.8951828724353255,0:00:04.472243
32,0.21010214825959275,0.27330541442817363,0.9094199305899852,0.8974130240856378,0:00:04.563105
33,0.20179686123850604,0.27317692071829053,0.914873574615766,0.8974130240856378,0:00:04.489185
34,0.20415952352426137,0.2962066547176144,0.910758552305404,0.8978590544157002,0:00:04.460819
35,0.20335516640577003,0.3047433304010143,0.9091720376797222,0.8929527207850134,0:00:04.519961
36,0.2005072358210471,0.334573446025311,0.913534952900347,0.8813559322033898,0:00:04.472244
37,0.19740154565844772,0.34131561744381006,0.9138820029747149,0.9005352363960749,0:00:04.462576
38,0.193234062775757,0.28651540191240715,0.9144769459593456,0.8902765388046388,0:00:04.506783
39,0.19421237536370975,0.2728054755380455,0.9165096678235003,0.8938447814451382,0:00:04.496287
40,0.18809345577402187,0.2937405361334013,0.9176003966286564,0.8965209634255129,0:00:04.466748
41,0.18666066586522578,0.3144028557293957,0.9164600892414477,0.8996431757359501,0:00:04.454224
42,0.18068554235560294,0.2960288965013731,0.9192364898363907,0.8974130240856378,0:00:04.506317
43,0.18398697833676722,0.2956194782655844,0.9188398611799703,0.8920606601248885,0:00:04.455910
44,0.18071676962957292,0.3267921402255805,0.9192860684184432,0.8916146297948261,0:00:04.488049
45,0.1770130930802003,0.3368627037918589,0.9229053049082796,0.8978590544157002,0:00:04.552084
46,0.17694322660376435,0.31466752414027555,0.923748140803173,0.8893844781445138,0:00:04.467386
47,0.17572458218871723,0.333695040884572,0.9229548834903322,0.8942908117752008,0:00:04.418143
48,0.16933246246478542,0.3341802210140395,0.9235002478929103,0.8813559322033898,0:00:04.465587
49,0.16841001230072136,0.33645957624408557,0.9243430837878036,0.8951828724353255,0:00:04.439291
50,0.1657389534472024,0.31441799442375634,0.9269211700545364,0.8947368421052632,0:00:04.471349
51,0.16724581650137987,0.31186030700173184,0.9247892910262766,0.8880463871543265,0:00:04.458753
52,0.16579415471766812,0.3215158437345911,0.9267724343083787,0.8929527207850134,0:00:04.501449
53,0.16282031071710307,0.3057317883432121,0.9263758056519583,0.8916146297948261,0:00:04.494971
54,0.1612962696527127,0.3352258956218859,0.9284581060981656,0.8951828724353255,0:00:04.505558
55,0.15785561088124306,0.3263188941981381,0.9281606346058503,0.8956289027653881,0:00:04.609244
56,0.1589873643287956,0.379748632371406,0.9280118988596926,0.8920606601248885,0:00:04.641963
57,0.15778110191084294,0.3757706467114704,0.9299454635597422,0.8920606601248885,0:00:04.462462
58,0.15086020684392207,0.3865279969824871,0.9323252354982647,0.8974130240856378,0:00:04.521925
