label,tp,fp,tn,fn,prec,rec,f1,acc
AVG,379,21,379,21,0.9475,0.9475,0.9475,0.9475
negative,204,16,175,5,0.9272727272727272,0.9760765550239234,0.951048951048951,0.9475
positive,175,5,204,16,0.9722222222222222,0.9162303664921466,0.9433962264150944,0.9475
