epoch,loss_train,loss_eval,f1_train,f1_eval,duration
1,0.6913444995880127,0.6906913572056278,0.5,0.5068,0:01:02.809480
2,0.6109045147895813,0.70109708256023,0.65,0.4968,0:01:03.480029
3,0.6462831497192383,0.7127487761959153,0.6,0.4954,0:01:04.032099
4,0.5632564872503281,0.7130200802140932,0.6,0.4954,0:01:04.171905
5,0.6784774959087372,0.7114113933721163,0.6,0.4962,0:01:04.329295
6,0.6637634634971619,0.6973997472198148,0.625,0.498,0:01:04.224881
7,0.6102004051208496,0.6784010700359465,0.6,0.5162,0:01:04.317405
8,0.5678448677062988,0.6626072484216875,0.65,0.5642,0:01:04.178883
9,0.5912072658538818,0.651834225199025,0.75,0.6088,0:01:04.226803
10,0.5358578264713287,0.6425177637179189,0.775,0.6632,0:01:04.229456
11,0.5374501943588257,0.6355059704962807,0.85,0.679,0:01:04.328985
12,0.5277057588100433,0.631851210336017,0.85,0.6798,0:01:04.158251
13,0.5202200710773468,0.6305117618506126,0.8000000000000002,0.6724,0:01:04.250263
14,0.5066352635622025,0.6254560970197057,0.825,0.678,0:01:04.295480
15,0.4699283838272095,0.6191425334875753,0.875,0.6892,0:01:04.213184
16,0.4496116638183594,0.6137349552409664,0.9,0.701,0:01:04.185548
17,0.46494513750076294,0.6105646456882448,0.85,0.6942,0:01:04.284032
18,0.4727436453104019,0.6094065107357728,0.875,0.684,0:01:04.232721
19,0.46393483877182007,0.6050820942896943,0.85,0.6934,0:01:04.300392
20,0.42791907489299774,0.5991099651452088,0.875,0.7024,0:01:04.256486
21,0.4218887686729431,0.5950451235103,0.9,0.7042,0:01:04.269959
22,0.38136813044548035,0.5891961381313907,0.9,0.7092,0:01:04.379105
23,0.3681693375110626,0.5842427873307732,0.925,0.7132,0:01:04.227759
24,0.3351863622665405,0.5825793765912395,0.925,0.7126,0:01:04.267199
25,0.38814255595207214,0.5816706766368475,0.9500000000000001,0.7101999999999999,0:01:04.209203
