epoch,loss_train,loss_eval,f1_train,f1_eval,duration
1,0.4153468074897534,0.40762390135060994,0.81025,0.8266,0:02:00.041290
2,0.3616250430334913,0.3874005684226753,0.83925,0.827,0:02:01.291258
3,0.34323253067117165,0.38978776990901676,0.851,0.8302,0:02:00.441399
4,0.33045167808602105,0.43701629771154815,0.8537499999999999,0.8234,0:02:00.765380
5,0.32251132663711957,0.41569409795273055,0.864,0.8252,0:02:00.898787
6,0.3062879377861976,0.395644589375146,0.8705,0.8318,0:02:01.049419
7,0.29100835160122374,0.4148577015047429,0.8755,0.8208,0:02:00.343971
8,0.2785287240673263,0.43195929198572447,0.883,0.8274,0:01:59.804772
9,0.26001168362476146,0.4374457653214668,0.89175,0.8314,0:02:00.849439
10,0.2441741029473416,0.43713121500845314,0.9015,0.8314,0:02:01.400362
11,0.22315435690043506,0.4601345156275202,0.90925,0.8227999999999999,0:02:00.720276
12,0.20741591647596208,0.49979804022309926,0.9197499999999998,0.8284,0:02:01.171863
13,0.20022448858087502,0.5341638906043258,0.92075,0.8038,0:02:00.694921
14,0.18379229175389533,0.5686952389347998,0.9265,0.8289999999999998,0:01:59.441414
15,0.1687488901116731,0.562164362537875,0.93425,0.8262,0:01:59.944239
16,0.1586725273634778,0.563956359587618,0.9345,0.8252,0:01:59.905969
17,0.14083441860389012,0.6213319907725412,0.94275,0.8254,0:01:59.497693
18,0.1432178835164867,0.6597258847430346,0.9467500000000001,0.826,0:01:59.513092
19,0.14194524590724994,0.6221404968461275,0.945,0.8262,0:01:59.582374
20,0.1113989275663701,0.7687741557683395,0.95625,0.8097999999999999,0:02:00.021661
21,0.119160359582776,0.7013219783188887,0.95625,0.818,0:01:59.507404
22,0.11735839404840992,0.7521404059418119,0.95725,0.8232,0:02:00.484583
23,0.12208172671851437,0.7067051839645654,0.9575,0.8217999999999999,0:01:59.474308
24,0.09168869191518132,0.8300120068533027,0.96775,0.8272,0:01:59.841579
25,0.09324907871968623,0.8504518222666863,0.9617499999999999,0.8304000000000001,0:02:00.448144
