epoch,loss_train,loss_test,f1_train,f1_test,duration
1,0.053138127219431334,0.24646281847586593,0.9837770549732964,0.9314946977944438,0:00:08.797146
2,0.04941775000789259,0.32190259328064114,0.9861462474400675,0.9318172654328455,0:00:08.831089
3,0.0474676302494377,0.2859691012875269,0.9862265590491105,0.9320995121164469,0:00:08.834580
4,0.047886506731060575,0.24690599217696593,0.9865076496807613,0.9324624007096488,0:00:08.830311
5,0.04672324909683351,0.2685967860647673,0.9863470264626751,0.9325027216644489,0:00:08.970126
6,0.045781167608900074,0.25264412980866785,0.9863470264626751,0.9320188702068465,0:00:08.899349
7,0.04753419223919375,0.2542891754995993,0.9862265590491105,0.9324624007096488,0:00:08.886406
8,0.045612504619857525,0.2500660316680241,0.9869493635304983,0.9326236845288497,0:00:08.833385
9,0.04613431197781219,0.22675816874107121,0.9869092077259768,0.9318979073424458,0:00:08.831014
10,0.045672347110400836,0.27558943090723975,0.9869092077259768,0.9318172654328455,0:00:08.905785
11,0.0445329944212504,0.2810663221478669,0.9865076496807613,0.9318172654328455,0:00:08.838758
12,0.04374380882114944,0.23875764330787388,0.9872304541621492,0.9315753397040442,0:00:08.851058
13,0.043146509833114376,0.33003145711746135,0.9874713889892784,0.9308495625176403,0:00:08.838340
14,0.043894128714713807,0.2572486570384598,0.987069830944063,0.9320591911616467,0:00:08.843363
15,0.04336162220152567,0.2861182019052987,0.9871902983576276,0.9323414378452481,0:00:08.964414
16,0.04374558255073419,0.2710431851295669,0.9870296751395414,0.9320591911616467,0:00:08.838719
17,0.044073342570303674,0.31405449326732837,0.9879532586435369,0.9324220797548487,0:00:08.851289
18,0.042474435534838095,0.24139454720281384,0.9875918564028431,0.9310914882464417,0:00:08.846658
19,0.04145912942558767,0.2821638133334385,0.9879934144480584,0.9314140558848434,0:00:08.870460
20,0.041310779430391825,0.2796556285798362,0.98803357025258,0.931736623523245,0:00:08.961341
21,0.041034385664833826,0.2759587108594133,0.9879934144480584,0.9315753397040442,0:00:08.892813
22,0.03996463224335283,0.3529192548174947,0.98803357025258,0.9297608967380347,0:00:08.832636
23,0.03960372926204058,0.33789751617819264,0.9887563747339678,0.9302044272408371,0:00:08.870472
24,0.039074923270857195,0.3378446314306634,0.9879934144480584,0.9312930930204427,0:00:08.845477
25,0.038412859969275036,0.3284044317369542,0.9881540376661446,0.9318575863876457,0:00:08.970755
26,0.03894742894134282,0.32954713545952535,0.9886760631249247,0.9321801540260474,0:00:08.832655
27,0.0384505708319038,0.2954210050591676,0.9881540376661446,0.931736623523245,0:00:08.842336
28,0.03677871227679854,0.34601615131816105,0.989439023410834,0.929236724325632,0:00:08.831531
29,0.03784141710188103,0.28178547814769894,0.9889973095610971,0.9304060320148381,0:00:08.860541
30,0.03601716321994505,0.3001339943180824,0.9896398024334417,0.9291157614612314,0:00:09.330945
31,0.036887743376443204,0.37422238662215374,0.9889973095610971,0.9308898834724406,0:00:09.632184
32,0.03547974284281012,0.33386224818845994,0.9898405814560495,0.9314543768396436,0:00:09.564851
33,0.03613506314587254,0.2971388191555099,0.9891177769746616,0.9298818596024354,0:00:09.563461
34,0.034171731637416276,0.3532711727166686,0.9900815162831788,0.9313334139752429,0:00:09.579102
35,0.03424927366373519,0.3852028797775077,0.9895594908243986,0.9303657110600378,0:00:09.772189
36,0.03461795656701835,0.35214352526497034,0.9893587118017909,0.9320591911616467,0:00:09.656499
37,0.03234763852346125,0.3857008509264899,0.9900413604786572,0.9312527720656425,0:00:09.585433
