model,base,base,base,base,base,textattack,textattack,textattack,textattack,textattack,fabriceyhc,fabriceyhc,fabriceyhc,fabriceyhc,fabriceyhc,wakaka,wakaka,wakaka,wakaka,wakaka
metrics,loss_train,loss_test,f1_train,f1_test,duration,loss_train,loss_test,f1_train,f1_test,duration,loss_train,loss_test,f1_train,f1_test,duration,loss_train,loss_test,f1_train,f1_test,duration
epoch,,,,,,,,,,,,,,,,,,,,
73,0.1299942118451667,0.3965018729063604,0.9404890976990724,0.8897221886214266,0:00:08.667862,0.0148819286170437,0.6281671645067411,0.9926916435770792,0.931535018749244,0:00:08.912151,0.0244073950012997,0.3995645786420349,0.99297273420873,0.9301237853312366,0:00:08.832504,0.1181426997683865,0.3851104878922221,0.9498052443480706,0.9014555864682876,0:00:09.729258
74,0.1294291395435782,0.4325371212644031,0.9416937718347188,0.8901657191242288,0:00:08.676394,0.014329065638002,0.6323122353669702,0.9933341364494238,0.932341437845248,0:00:08.918664,0.0234372435652158,0.4691082197452638,0.99297273420873,0.9312930930204428,0:00:08.832740,0.1207721965723408,0.359717197778691,0.9492430630847688,0.8970202814402645,0:00:09.846786
75,0.130629669757744,0.4551780970164663,0.9411315905714172,0.8872222894238135,0:00:08.705055,0.0149774860808938,0.6576106306884207,0.9930932016222944,0.933067215031652,0:00:09.106407,0.024598790468443,0.4103060784180656,0.9928121109906436,0.928470626184428,0:00:08.989476,0.1162617291070984,0.4364373092252694,0.9513311649198892,0.903108745615096,0:00:09.985454
76,0.1225058407939981,0.4731798308094984,0.9427378227522788,0.8860933026894077,0:00:08.721133,0.0122364258725732,0.6281654104614358,0.9942577199534192,0.9302850691504376,0:00:08.944549,0.0249185978646776,0.4848077927552028,0.9924105529454282,0.9310108463368412,0:00:08.877303,0.1166889866747067,0.405155085842575,0.9507689836565876,0.8986734405870731,0:00:09.730420
77,0.1256426391532507,0.4030520828205552,0.942818134361322,0.8888754485706222,0:00:08.699454,0.0171594369822235,0.5958599527577235,0.9930932016222944,0.9326236845288496,0:00:08.830064,0.0244690714807498,0.4629053880030503,0.9928522667951653,0.9293576871900326,0:00:08.884475,0.115198834320119,0.4162297707933755,0.9530980203188372,0.9025845732026936,0:00:09.708342
78,0.1192328462081893,0.4161374622704037,0.9449062361964422,0.8887141647514213,0:00:08.668836,0.0110531830503736,0.6412365193091759,0.9940970967353332,0.9318172654328456,0:00:08.904954,0.0235046103877974,0.4956474838406353,0.9930932016222944,0.9300834643764364,0:00:08.837683,0.1138460203671687,0.3688837724652532,0.9537003573866604,0.90193943792589,0:00:09.553886
79,0.125004627404732,0.3705640368488533,0.9428984459703648,0.8891576952542236,0:00:08.598946,0.0133551683620434,0.6936127097285707,0.9938561619082038,0.9287125519132292,0:00:08.922867,0.0238728975677548,0.4379676455885685,0.9931735132313376,0.9294383290996332,0:00:08.833302,0.1114834292411603,0.4039318321405135,0.9529775529052724,0.9014959074230878,0:00:09.111941
80,0.1259353960073995,0.4738265806671052,0.9414528370075894,0.8887141647514213,0:00:08.755327,0.0135952826790768,0.7552094768041436,0.9938160061036824,0.9290754405064312,0:00:09.159084,0.0233794892664286,0.5022934284526345,0.9928924225996868,0.9287931938228297,0:00:08.948580,0.1128810798744545,0.3973786695956328,0.9517327229651046,0.8997217854118785,0:00:09.140422
81,0.123037868743674,0.4581719368795826,0.9426976669477573,0.885972339825007,0:00:08.729684,0.0143687695067389,0.6752878184708616,0.993133357426816,0.9289141566872304,0:00:08.953870,0.0251164777659053,0.472546501806101,0.9930128900132514,0.9308092415628402,0:00:08.962468,0.1093685540426832,0.3981798993753324,0.9552664337630004,0.9001653159146809,0:00:08.936283
82,0.1212959333833437,0.4139811215158935,0.9430992249929728,0.889238337163824,0:00:08.744030,0.0138299512071258,0.6383946909994017,0.9934546038629885,0.9308495625176404,0:00:08.856222,0.024502373449477,0.4576200899296098,0.9927719551861222,0.9313737349300432,0:00:09.041791,0.1114187584335129,0.3775990578393886,0.9540617596273542,0.9019797588806904,0:00:08.883641
83,0.1190206117387645,0.4394454621540657,0.9447857687828776,0.8823031329381881,0:00:08.739371,0.0124612982337818,0.6208992960820341,0.9941372525398546,0.9318172654328456,0:00:08.900986,0.0236657935531326,0.4975573826298795,0.993133357426816,0.9300834643764364,0:00:09.000201,0.1076351359240896,0.3897033513595943,0.954423161868048,0.9049231885811057,0:00:08.790340
84,0.1184154116525882,0.4780377563692097,0.9445849897602698,0.8826257005765896,0:00:08.617104,0.0140618521635933,0.6984805740457792,0.9936152270810744,0.92887383573243,0:00:08.907562,0.0207005780425105,0.5135423544570746,0.9940569409308116,0.9271400346760212,0:00:08.933342,0.1078304531768833,0.3843687202084751,0.955667991808216,0.9021007217450908,0:00:08.881994
85,0.1186871996008348,0.4998388147583844,0.945267638437136,0.8891980162090238,0:00:08.814827,0.0134673558368651,0.6505895782793155,0.9934546038629885,0.9307285996532398,0:00:09.109579,0.0229351796170191,0.4915041387698221,0.9934144480584668,0.9308495625176404,0:00:09.062644,0.1105475947177168,0.3866357980684748,0.9543428502590048,0.8991976129994759,0:00:09.031297
86,0.119013916769224,0.4077158825515198,0.9451471710235716,0.8895609048022257,0:00:08.691930,0.013930990460051,0.6547622187084734,0.9934144480584668,0.9310914882464416,0:00:08.957881,0.0230043492048236,0.4958249875336365,0.993053045817773,0.9313334139752428,0:00:08.981195,0.1078899110708056,0.3966998669340456,0.9554672127856082,0.9027861779766944,0:00:08.880045
87,0.1150975637394929,0.4214602784139191,0.9458298197004376,0.8892786581186243,0:00:08.709162,0.0113010085471035,0.7611385590931153,0.994378187366984,0.929236724325632,0:00:08.890504,0.0223956414408835,0.4706165018723245,0.9932136690358592,0.9300431434216364,0:00:08.970990,0.1048378679026825,0.4037705806861021,0.9549050315223064,0.9013749445586872,0:00:08.819898
88,0.1136736744400279,0.4542659075232222,0.9461109103320884,0.889238337163824,0:00:08.717203,0.0151255569150592,0.69320621752053,0.993133357426816,0.9314946977944438,0:00:08.910783,0.0220180150522333,0.4580919686968514,0.9933341364494238,0.92887383573243,0:00:09.017642,0.1057936555499136,0.3776819355959194,0.9560695498534312,0.900568525462683,0:00:08.764162
89,0.1113007386425446,0.4738752356881623,0.9467935590089548,0.8849643159550018,0:00:08.670478,0.0134872326946405,0.6797954628987255,0.9939364735172468,0.9314543768396436,0:00:08.894185,0.0228678307423195,0.4656833750720219,0.9936955386901176,0.9289544776420304,0:00:08.854146,0.105225407834292,0.423108467478011,0.9559892382443882,0.9012943026490868,0:00:08.873521
90,0.1165260172333084,0.4567288404502231,0.9455888848733084,0.8896012257570259,0:00:08.882097,0.0142580685213084,0.6732453691303307,0.9936152270810744,0.9308495625176404,0:00:09.084279,0.0229630379668817,0.4873222076725532,0.9938963177127254,0.9308495625176404,0:00:09.077988,0.1073409062054065,0.3773146105873803,0.956712042725776,0.9019797588806904,0:00:09.061362
91,0.113097333186844,0.4826492266396434,0.947114805445127,0.8876658199266159,0:00:08.680611,0.0119004989853539,0.6550432185554934,0.994378187366984,0.9304463529696384,0:00:08.886452,0.0231307635154882,0.4709851219035089,0.9932538248403808,0.929962501512036,0:00:08.809107,0.1035324415235047,0.4124878084104924,0.9585190539292456,0.9016975121970888,0:00:08.902216
92,0.117009326797672,0.4887822262979393,0.9455085732642652,0.8897221886214266,0:00:08.672566,0.0144563343896782,0.6619237066315767,0.9934144480584668,0.9320188702068464,0:00:08.821924,0.0215898389364814,0.5439037611368784,0.9939766293217684,0.9300431434216364,0:00:08.859831,0.1042468012364364,0.4070400863641773,0.9557884592217804,0.8997217854118785,0:00:08.861787
93,0.1113492610684412,0.498651180313338,0.94719511705417,0.8868594008306117,0:00:08.674285,0.0143094056813595,0.6576114470662626,0.993575071276553,0.9326640054836498,0:00:08.914159,0.0220921605042852,0.4647338292454376,0.9936955386901176,0.9264142574896173,0:00:08.878637,0.1064624724962266,0.4050678929989708,0.9554270569810868,0.8993185758638764,0:00:08.752460
94,0.1113096215715572,0.4364207772863306,0.9461109103320884,0.8905689286722309,0:00:08.627416,0.0140310859948994,0.7069543191937123,0.9933742922539454,0.9324220797548488,0:00:08.912121,0.0248351027604446,0.4510981485733968,0.9926514877725576,0.9289947985968308,0:00:08.818378,0.1062459657638213,0.4064607345127046,0.955828615026302,0.9012539816942864,0:00:08.849582
95,0.1111616115898744,0.4659686359699633,0.9473557402722564,0.8851659207290029,0:00:08.885943,0.0120499272358005,0.710409832182657,0.9939364735172468,0.9330268940768516,0:00:09.108242,0.0216899960641535,0.5150681278843785,0.9940569409308116,0.9309705253820412,0:00:09.115069,0.0980060522451121,0.4048801520503289,0.9585993655382884,0.9008104511914844,0:00:09.096863
96,0.1077225359108309,0.5004911956010687,0.9513713207244108,0.8883109552034192,0:00:08.707183,0.0126863284609006,0.6310109662975967,0.9940569409308116,0.9303657110600378,0:00:08.811137,0.0204663300268508,0.5127874871061823,0.9944183431715056,0.9281883795008266,0:00:08.904898,0.1052356533824545,0.4234532109298959,0.9564309520941252,0.8998427482762792,0:00:08.895868
97,0.1094577536181175,0.4476715403005296,0.9477572983174718,0.886738437966211,0:00:08.672244,0.0140012700387809,0.6471783159363133,0.9930932016222944,0.9325833635740496,0:00:08.877095,0.0231916004215962,0.4507680498099545,0.99297273420873,0.9278254909076248,0:00:08.897817,0.1009594990124039,0.4223093799906174,0.9573143797935992,0.9015362283778878,0:00:08.857474
98,0.1096317729923457,0.4470810475731451,0.9469140264225194,0.8889964114350227,0:00:08.666717,0.0135557637793085,0.678445278770601,0.9936955386901176,0.930567315834039,0:00:08.888158,0.0206488676577792,0.5301801391243162,0.9942978757579408,0.9279464537720252,0:00:08.893539,0.102476900066243,0.4344780730970505,0.9580773400795084,0.9012136607394864,0:00:08.739469
99,0.1067923921933313,0.4282248734239099,0.9482391679717304,0.8870610056046128,0:00:08.600682,0.0131853022621865,0.669811139973085,0.9936955386901176,0.931172130156042,0:00:08.935617,0.0214131548133229,0.5362614357215993,0.9939364735172468,0.9293576871900326,0:00:08.755679,0.1026035901673128,0.408043609681532,0.956712042725776,0.9024232893834926,0:00:08.829757
100,0.1071669684988428,0.468765547740874,0.9490021282576396,0.8872222894238135,0:00:08.882167,0.0120825008923553,0.6960687047014067,0.9940970967353332,0.9323817588000484,0:00:09.155856,0.0210720391170819,0.5311288771984534,0.9938963177127254,0.928067416636426,0:00:09.084979,0.1009070266490091,0.4492023443231909,0.9573545355981208,0.8989556872706747,0:00:09.023654
