model,base,base,base,base,base,textattack,textattack,textattack,textattack,textattack,fabriceyhc,fabriceyhc,fabriceyhc,fabriceyhc,fabriceyhc,wakaka,wakaka,wakaka,wakaka,wakaka
metrics,loss_train,loss_test,f1_train,f1_test,duration,loss_train,loss_test,f1_train,f1_test,duration,loss_train,loss_test,f1_train,f1_test,duration,loss_train,loss_test,f1_train,f1_test,duration
epoch,,,,,,,,,,,,,,,,,,,,
9,0.2675736199189292,0.2746147353768581,0.8882865518210658,0.8855288093222048,0:00:08.876714,0.0619284435544032,0.2568804615857703,0.9770308798136772,0.9337526712632556,0:00:08.845610,0.0461343119778121,0.2267581687410712,0.9869092077259768,0.9318979073424458,0:00:08.831014,0.2398661065784514,0.2616622461505311,0.9022607717945628,0.897504132897867,0:00:08.706315
10,0.2663150690304684,0.2722564568003814,0.8897723165883629,0.8858110560058062,0:00:08.993405,0.0576220565454302,0.2421389269311062,0.9786772677990604,0.9337123503084552,0:00:09.021459,0.0456723471104008,0.2755894309072397,0.9869092077259768,0.9318172654328456,0:00:08.905785,0.2384476706251712,0.2490268939171112,0.9034654459302092,0.9024636103382928,0:00:09.046875
11,0.2591799194799,0.2799766805315506,0.8926233787093925,0.8872626103786138,0:00:08.925994,0.0578956820125438,0.2486400595125349,0.979400072280448,0.9335510664892545,0:00:08.836116,0.0445329944212504,0.2810663221478669,0.9865076496807612,0.9318172654328456,0:00:08.838758,0.2339607310912958,0.2421155914126598,0.9047905874794202,0.9010120559654852,0:00:08.837213
12,0.2574161060479623,0.2697564929775647,0.8923422880777416,0.8879077456554171,0:00:08.940746,0.0534469104843155,0.2889255004418882,0.980644902220616,0.935002620862062,0:00:08.856575,0.0437438088211494,0.2387576433078738,0.9872304541621492,0.9315753397040442,0:00:08.851058,0.2301176920609694,0.2480390486085411,0.907079468337148,0.9030281037054958,0:00:08.810929
13,0.2539397328087769,0.2864974832891959,0.8930650925591295,0.881537034796984,0:00:08.964743,0.0528456914009687,0.2782815561766483,0.9797213187166204,0.933268819805653,0:00:08.809131,0.0431465098331143,0.3300314571174613,0.9874713889892784,0.9308495625176404,0:00:08.838340,0.229768568750313,0.2404814908789836,0.906918845119062,0.90193943792589,0:00:08.787857
14,0.2468157504160384,0.3024445180963832,0.8963578685298959,0.878472642232168,0:00:08.921891,0.0492076295460407,0.2801625243308022,0.9814078625065252,0.9328656102576508,0:00:08.880362,0.0438941287147138,0.2572486570384598,0.987069830944063,0.9320591911616468,0:00:08.843363,0.2264768068890285,0.2518950984045172,0.9080432076456652,0.9037538808918996,0:00:08.705935
15,0.2485792450654644,0.2737298350872412,0.8956752198530298,0.8877867827910165,0:00:09.027938,0.0493683394368031,0.2810402277222253,0.980805525438702,0.934236522720858,0:00:09.114424,0.0433616222015256,0.2861182019052987,0.9871902983576276,0.932341437845248,0:00:08.964414,0.2229188395680834,0.247207592440692,0.9075211821868852,0.9035522761178983,0:00:09.003495
16,0.2462614738646611,0.2852546473072129,0.8988876842147533,0.8882303132938189,0:00:08.908197,0.0484210070030134,0.2871982522660476,0.9813275508974822,0.9330268940768516,0:00:08.879704,0.0437455825507341,0.2710431851295669,0.9870296751395414,0.9320591911616468,0:00:08.838719,0.2199136516263417,0.251896583297549,0.9095289724129624,0.89806862626507,0:00:08.853797
17,0.243095729260948,0.2809198636071965,0.8992490864554471,0.8877867827910165,0:00:08.894095,0.0468699606594274,0.285291802517701,0.9816889531381762,0.9333091407604532,0:00:08.856955,0.0440733425703036,0.3140544932673283,0.9879532586435368,0.9324220797548488,0:00:08.851289,0.2177397965504973,0.2485246751411322,0.911858009075212,0.901173339784686,0:00:08.842082
18,0.239245930057741,0.2980724428204304,0.9005340722001365,0.87500504011935,0:00:08.920387,0.0448466630357997,0.3033467345302617,0.9831747179054732,0.9324220797548488,0:00:08.832159,0.042474435534838,0.2413945472028138,0.9875918564028432,0.9310914882464416,0:00:08.846658,0.2133165707331107,0.2515325436162156,0.9138256434967674,0.9024636103382928,0:00:08.839681
19,0.2351076051315464,0.3174451371707676,0.9027426414488214,0.8837950082657957,0:00:08.914435,0.043090118017382,0.3372778114217526,0.9830140946873872,0.9333494617152536,0:00:09.051333,0.0414591294255876,0.2821638133334385,0.9879934144480584,0.9314140558848434,0:00:08.870460,0.2119373884028128,0.2661561198057323,0.9140264225193752,0.9032297084794968,0:00:08.743342
20,0.2329188864319484,0.2839713457434138,0.903385134321166,0.8897221886214266,0:00:09.022085,0.0415827247739653,0.3489040354498758,0.983455808537124,0.9313334139752428,0:00:09.223629,0.0413107794303918,0.2796556285798362,0.98803357025258,0.931736623523245,0:00:08.961341,0.2076333283024705,0.2654494166844667,0.9176002891217928,0.9048425466715052,0:00:09.087802
21,0.2248826367692096,0.314372724572619,0.906035417419588,0.8866577960566105,0:00:08.741329,0.0407996076147298,0.3250630906977771,0.9842589246275548,0.9322204749808476,0:00:08.969605,0.0410343856648338,0.2759587108594133,0.9879934144480584,0.9315753397040442,0:00:08.892813,0.2048280114386907,0.2486374405639954,0.9167971730313615,0.9043183742591024,0:00:09.539953
22,0.2271418324163581,0.298862247236947,0.9048708990884632,0.8897625095762267,0:00:08.798413,0.0373121086390238,0.3653814690436233,0.9844597036501628,0.9333091407604532,0:00:08.996979,0.0399646322433528,0.3529192548174947,0.98803357025258,0.9297608967380347,0:00:08.832636,0.2052251762006338,0.2529220019188742,0.9161948359635386,0.902342647473892,0:00:09.564992
23,0.2241262654739222,0.3186666383658543,0.9075211821868852,0.8869803636950123,0:00:08.735400,0.0370794134313526,0.3537353642289973,0.9851021965225072,0.932341437845248,0:00:08.867662,0.0396037292620405,0.3378975161781926,0.9887563747339678,0.9302044272408372,0:00:08.870472,0.1996332931359785,0.2941409586325707,0.9178813797534432,0.8967783557114632,0:00:09.625527
24,0.2202122102136482,0.3045805362005209,0.9068385335100188,0.8838353292205958,0:00:08.732740,0.0369484683518601,0.3979893702785518,0.9850218849134642,0.932301116890448,0:00:08.950994,0.0390749232708571,0.3378446314306634,0.9879934144480584,0.9312930930204428,0:00:08.845477,0.1980713895965601,0.2752660007802091,0.918082158776051,0.9038345228015,0:00:09.530452
25,0.2156741493244073,0.3044223072506564,0.9098903746536562,0.8858110560058062,0:00:08.842072,0.0340677158379311,0.3531511753200075,0.9863068706581536,0.9329865731220516,0:00:09.133946,0.038412859969275,0.3284044317369542,0.9881540376661446,0.9318575863876456,0:00:08.970755,0.1973367893209965,0.269976869463133,0.9192065213026543,0.8964557880730617,0:00:09.775711
26,0.2151684440548063,0.2977167082525623,0.9104124001124364,0.8885528809322205,0:00:08.724388,0.0333044310033314,0.4191821967695655,0.9867485845078906,0.9313737349300432,0:00:08.945184,0.0389474289413428,0.3295471354595253,0.9886760631249248,0.9321801540260474,0:00:08.832655,0.1939877023841512,0.2549850171979168,0.9193671445207404,0.9043586952139028,0:00:09.541361
27,0.2154076028715661,0.3560399849360896,0.9085250772999236,0.8714971170517318,0:00:08.697693,0.0335380919351641,0.4595486510447039,0.9861462474400676,0.9286722309584292,0:00:08.851459,0.0384505708319038,0.2954210050591676,0.9881540376661446,0.931736623523245,0:00:08.842336,0.1922312999844779,0.2638113196055917,0.9195277677388266,0.9035522761178983,0:00:09.520652
28,0.21040051350602,0.3162457980590225,0.9113359836164318,0.8874642151526149,0:00:08.734842,0.0304604142323643,0.3966961485330667,0.9875115447938,0.9314543768396436,0:00:08.694701,0.0367787122767985,0.346016151318161,0.989439023410834,0.929236724325632,0:00:08.831531,0.1882727932835305,0.2863990524412429,0.9220977392282056,0.9002056368694811,0:00:09.524058
29,0.2052767568785548,0.3006536984508949,0.9129422157972936,0.8871416475142131,0:00:08.682742,0.0294670728204957,0.3925998497842607,0.9875918564028432,0.9317769444780452,0:00:08.782951,0.037841417101881,0.2817854781476989,0.9889973095610972,0.930406032014838,0:00:08.860541,0.1863141738772585,0.2789225893604974,0.9222985182508132,0.9033103503890972,0:00:09.470472
30,0.2066396786299305,0.3182786271796975,0.9141870457374612,0.8890770533446232,0:00:08.709084,0.0298159923012357,0.4386283109057248,0.9878327912299724,0.9325430426192493,0:00:08.995862,0.036017163219945,0.3001339943180824,0.9896398024334416,0.9291157614612314,0:00:09.330945,0.1840671240405894,0.2763730748580553,0.925310203589929,0.8985121567678722,0:00:09.747602
31,0.2016978386540887,0.309184548963514,0.9146287595871984,0.8889560904802227,0:00:08.711495,0.0298399238423728,0.4212734549622109,0.9875115447938,0.9336720293536552,0:00:08.820367,0.0368877433764432,0.3742223866221537,0.9889973095610972,0.9308898834724406,0:00:09.632184,0.1819981502868781,0.2724084928205729,0.9251094245673211,0.902705536067094,0:00:09.488410
32,0.1970199037831041,0.3210292273193845,0.916596394008754,0.8869400427402121,0:00:08.694634,0.0269404734137356,0.5171662052155394,0.9882343492751876,0.9321398330712471,0:00:08.803666,0.0354797428428101,0.3338622481884599,0.9898405814560496,0.9314543768396436,0:00:09.564851,0.1786597537424354,0.2976221388242491,0.925751917439666,0.9035119551630982,0:00:09.477157
33,0.1972512855016374,0.3335338494807637,0.9158735895273662,0.8879077456554171,0:00:08.669719,0.0259093886647995,0.483150108742585,0.9885154399068384,0.9319785492520464,0:00:08.678031,0.0361350631458725,0.2971388191555099,0.9891177769746616,0.9298818596024354,0:00:09.563461,0.1778039435840504,0.2932330197589401,0.9277597076657432,0.9010523769202856,0:00:09.410276
34,0.1969375180341162,0.2933870370886243,0.9162751475725815,0.8900850772146285,0:00:08.665148,0.0265322980596666,0.4915108101496924,0.9885957515158816,0.9313737349300432,0:00:08.740820,0.0341717316374162,0.3532711727166686,0.9900815162831788,0.9313334139752428,0:00:09.579102,0.1738310422346628,0.3125841165118679,0.9288840701923464,0.903108745615096,0:00:09.563541
