model,metrics,mean,std,min,max
base,intra_distance_negative,5.706,0.107,5.43,5.766
base,intra_distance_positive,6.1,0.062,5.957,6.14
textattack,intra_distance_negative,6.618,0.237,5.982,6.738
textattack,intra_distance_positive,6.997,0.244,6.339,7.118
fabriceyhc,intra_distance_negative,7.594,0.107,7.299,7.644
fabriceyhc,intra_distance_positive,5.983,0.135,5.608,6.041
wakaka,intra_distance_negative,7.333,0.213,6.757,7.437
wakaka,intra_distance_positive,8.458,0.207,7.903,8.562
