epoch,loss_train,loss_eval,f1_train,f1_eval,duration
55,0.006902037421241403,0.013228698633611202,1.0,1.0,0:00:00.018438
56,0.012651051860302687,0.012388821691274643,1.0,1.0,0:00:00.018468
57,0.012620184104889631,0.00651898211799562,1.0,1.0,0:00:00.018484
58,0.007525510969571769,0.007480180356651545,1.0,1.0,0:00:00.017850
59,0.007241868646815419,0.006668811431154609,1.0,1.0,0:00:00.018623
60,0.015824575908482075,0.008419153280556202,1.0,1.0,0:00:00.018966
61,0.009109383914619684,0.007765771821141243,1.0,1.0,0:00:00.018274
62,0.010041827335953712,0.00902832392603159,1.0,1.0,0:00:00.018349
63,0.00866107176989317,0.006297025131061673,1.0,1.0,0:00:00.018178
64,0.008699506986886263,0.005471750861033797,1.0,1.0,0:00:00.017994
65,0.00645803427323699,0.0071515783201903105,1.0,1.0,0:00:00.018876
66,0.006065947702154517,0.004525682423263788,1.0,1.0,0:00:00.018518
67,0.005613636691123247,0.004038714454509318,1.0,1.0,0:00:00.017809
68,0.006606054259464145,0.006093795644119382,1.0,1.0,0:00:00.018012
69,0.012723790248855948,0.004885026253759861,1.0,1.0,0:00:00.018048
70,0.003768577938899398,0.00400910887401551,1.0,1.0,0:00:00.018304
71,0.005619756877422333,0.004612957825884223,1.0,1.0,0:00:00.018438
72,0.005503563676029444,0.003159039479214698,1.0,1.0,0:00:00.018186
73,0.00784157426096499,0.003482022089883685,1.0,1.0,0:00:00.017610
74,0.004862688016146421,0.004027792136184871,1.0,1.0,0:00:00.018194
75,0.006426372565329075,0.003810474881902337,1.0,1.0,0:00:00.018974
76,0.0051093995571136475,0.004199856426566839,1.0,1.0,0:00:00.018316
77,0.004418889991939068,0.0037143854424357414,1.0,1.0,0:00:00.018363
78,0.003500895807519555,0.002953242976218462,1.0,1.0,0:00:00.017942
79,0.006600699154660106,0.003656369401142001,1.0,1.0,0:00:00.017670
80,0.004098446457646787,0.003145038615912199,1.0,1.0,0:00:00.018596
81,0.005986012518405914,0.003213777090422809,1.0,1.0,0:00:00.018203
82,0.003744076006114483,0.0033988802460953593,1.0,1.0,0:00:00.018119
83,0.0028851787792518735,0.003552125650458038,1.0,1.0,0:00:00.018171
84,0.004307084484025836,0.002403695834800601,1.0,1.0,0:00:00.018101
85,0.003588389605283737,0.003960770205594599,1.0,1.0,0:00:00.018862
86,0.004981273435987532,0.002904678927734494,1.0,1.0,0:00:00.018221
87,0.005950036225840449,0.0023440484656021,1.0,1.0,0:00:00.018097
88,0.00342644308693707,0.0024906668113544583,1.0,1.0,0:00:00.017948
89,0.005132582737132907,0.0033257497707381845,1.0,1.0,0:00:00.018235
90,0.0029626080067828298,0.003274586168117821,1.0,1.0,0:00:00.019168
91,0.003732939367182553,0.002526916330680251,1.0,1.0,0:00:00.018155
92,0.004046970512717962,0.0023815379827283323,1.0,1.0,0:00:00.018104
93,0.0040370888309553266,0.0020713380654342473,1.0,1.0,0:00:00.017794
94,0.00421598763205111,0.0025095981545746326,1.0,1.0,0:00:00.017510
95,0.0037670049350708723,0.0020181979052722454,1.0,1.0,0:00:00.019350
96,0.0017890913295559585,0.0020905996789224446,1.0,1.0,0:00:00.018564
97,0.003305636579170823,0.0017807355034165084,1.0,1.0,0:00:00.017889
98,0.0020396483596414328,0.0017404815880581737,1.0,1.0,0:00:00.017807
99,0.0037144343368709087,0.00215182697866112,1.0,1.0,0:00:00.018023
100,0.0021194342989474535,0.001813388429582119,1.0,1.0,0:00:00.018595
