epoch,loss_train,loss_test,f1_train,f1_test,duration
1,0.34135649169631416,0.29476625932597755,0.8533911576918444,0.874803435345349,0:00:08.983668
2,0.3048745562754029,0.2920516639373015,0.8719029835762758,0.8769001249949598,0:00:08.898100
3,0.2952096783322916,0.2808234041950372,0.8767216801188612,0.8799241966049756,0:00:08.949960
4,0.2872498165887804,0.2786449839735466,0.8790507167811107,0.8814967138421838,0:00:08.915519
5,0.28423956313453863,0.2996297910464173,0.8813395976388387,0.8720212894641346,0:00:09.065765
6,0.28060553421353623,0.29355453386825997,0.8834276994739589,0.8754082496673521,0:00:08.917338
7,0.27333888994943484,0.27646546971326474,0.88527486648195,0.8844804644973994,0:00:08.932142
8,0.27191080040129867,0.2853201550777192,0.8866000080311609,0.8837546873109955,0:00:08.885434
9,0.26757361991892925,0.2746147353768581,0.8882865518210658,0.8855288093222048,0:00:08.876714
10,0.2663150690304684,0.27225645680038146,0.8897723165883629,0.8858110560058062,0:00:08.993405
11,0.2591799194799,0.27997668053155067,0.8926233787093925,0.8872626103786138,0:00:08.925994
12,0.2574161060479623,0.26975649297756477,0.8923422880777416,0.8879077456554171,0:00:08.940746
13,0.2539397328087769,0.28649748328919594,0.8930650925591295,0.881537034796984,0:00:08.964743
14,0.2468157504160384,0.30244451809638323,0.8963578685298959,0.878472642232168,0:00:08.921891
15,0.24857924506546442,0.2737298350872412,0.8956752198530298,0.8877867827910165,0:00:09.027938
16,0.24626147386466116,0.2852546473072129,0.8988876842147533,0.8882303132938189,0:00:08.908197
17,0.243095729260948,0.28091986360719656,0.8992490864554471,0.8877867827910165,0:00:08.894095
18,0.23924593005774109,0.2980724428204304,0.9005340722001365,0.87500504011935,0:00:08.920387
19,0.2351076051315464,0.3174451371707676,0.9027426414488214,0.8837950082657957,0:00:08.914435
20,0.23291888643194847,0.28397134574341387,0.9033851343211661,0.8897221886214266,0:00:09.022085
21,0.22488263676920967,0.314372724572619,0.906035417419588,0.8866577960566105,0:00:08.741329
22,0.22714183241635819,0.298862247236947,0.9048708990884632,0.8897625095762267,0:00:08.798413
23,0.22412626547392225,0.3186666383658543,0.9075211821868852,0.8869803636950123,0:00:08.735400
24,0.22021221021364823,0.3045805362005209,0.9068385335100189,0.8838353292205958,0:00:08.732740
25,0.2156741493244073,0.3044223072506564,0.9098903746536562,0.8858110560058062,0:00:08.842072
26,0.21516844405480637,0.2977167082525623,0.9104124001124363,0.8885528809322205,0:00:08.724388
27,0.21540760287156613,0.3560399849360896,0.9085250772999237,0.8714971170517318,0:00:08.697693
28,0.21040051350602,0.31624579805902253,0.9113359836164318,0.8874642151526149,0:00:08.734842
29,0.20527675687855484,0.3006536984508949,0.9129422157972935,0.8871416475142131,0:00:08.682742
30,0.20663967862993055,0.3182786271796975,0.9141870457374613,0.8890770533446232,0:00:08.709084
31,0.20169783865408872,0.309184548963514,0.9146287595871984,0.8889560904802227,0:00:08.711495
32,0.19701990378310413,0.3210292273193845,0.9165963940087539,0.8869400427402121,0:00:08.694634
33,0.19725128550163745,0.3335338494807637,0.9158735895273662,0.8879077456554171,0:00:08.669719
34,0.1969375180341162,0.29338703708862435,0.9162751475725817,0.8900850772146285,0:00:08.665148
35,0.19067082704619928,0.31404728378784624,0.9187648074529173,0.8886335228418208,0:00:08.678513
36,0.18884451964222107,0.35049553727491073,0.9225796088824639,0.8878674247006169,0:00:08.707280
37,0.18798602449161309,0.32759726915350085,0.9190057422800466,0.8906495705818313,0:00:08.713717
38,0.18586941455061687,0.30255658561771887,0.919045898084568,0.8913350268134349,0:00:08.715029
