epoch,loss_train,loss_eval,f1_train,f1_eval,duration
1,0.5610322462933145,0.48380614129396593,0.74048,0.7920193470374849,0:00:19.632758
2,0.49517091689512244,0.4475597628416159,0.76228,0.8089480048367593,0:00:19.490443
3,0.4789765529391712,0.4359613339870402,0.7690399999999998,0.8045143087464733,0:00:19.514730
4,0.46859650866454833,0.4219635984836481,0.77088,0.8133817009270456,0:00:19.393718
5,0.4646112821862829,0.4182726454276306,0.77596,0.8133817009270456,0:00:19.390768
6,0.45819099378936445,0.4106278354540849,0.7819599999999999,0.8214429665457478,0:00:19.440575
7,0.45444103189365387,0.40746937462916755,0.78744,0.8198307134220072,0:00:19.317723
8,0.4512306073932998,0.40706646060332274,0.78836,0.822652156388553,0:00:19.340822
9,0.448001999798638,0.40496119780418205,0.78836,0.8270858524788391,0:00:19.285057
10,0.44307343686556844,0.4026171977703387,0.79176,0.8222490931076178,0:00:19.285037
11,0.44052750518178696,0.4053610998850602,0.79212,0.8182184602982667,0:00:19.336575
12,0.4388176122742236,0.39897797925349987,0.79472,0.8222490931076178,0:00:19.268681
13,0.43315118314969875,0.3978975976888949,0.7978,0.8222490931076178,0:00:19.325817
14,0.4293226480026684,0.3938775391150744,0.79984,0.8319226118500604,0:00:19.356205
15,0.4272647685254628,0.39220167390811134,0.80132,0.8347440548166062,0:00:19.350248
16,0.42700301813881075,0.39186381644163365,0.7993200000000001,0.8323256751309955,0:00:19.363199
17,0.4229120876249449,0.3931500648076717,0.8062799999999999,0.8230552196694881,0:00:19.453137
18,0.42065627251744575,0.3905605776951864,0.805,0.8347440548166062,0:00:19.446368
19,0.41841320638232826,0.38936674976960206,0.80764,0.8286981056025797,0:00:19.550407
20,0.41866396079816487,0.38664449464816314,0.8043599999999999,0.8315195485691252,0:00:19.528569
21,0.41580187085339476,0.3871764662938239,0.80968,0.826279725916969,0:00:19.434488
22,0.41457529720443004,0.3849820815599881,0.80672,0.8299072954453849,0:00:19.459235
23,0.4134678403129963,0.3846371540656457,0.81,0.8299072954453849,0:00:19.383315
24,0.4092204472636022,0.38496044965890736,0.81228,0.8286981056025797,0:00:19.339833
25,0.4117599309938946,0.38166459707113404,0.8115200000000001,0.8363563079403467,0:00:19.325546
