epoch,loss_train,loss_eval,f1_train,f1_eval,duration
1,0.6331520090995442,0.5928953122708105,0.7892043162565551,0.7851956434045986,0:00:46.844646
2,0.5611001848888972,0.5423647674101019,0.7973225090762405,0.7922549415086728,0:00:46.889558
3,0.5214940645942729,0.5138775416679913,0.8017345703912869,0.7924566357402179,0:00:47.436031
4,0.49850006096783234,0.49678843511689097,0.8033985478015329,0.7958854376764825,0:00:47.000126
5,0.4842387812505901,0.4860693446690998,0.8044322307382009,0.7966922146026625,0:00:48.082843
