epoch,loss_train,loss_test,f1_train,f1_test,duration
1,0.3432332454046021,0.338719274003788,0.8527888206240212,0.8525865892504334,0:00:09.668784
2,0.30772944330327456,0.32690075043704125,0.8702565955908926,0.858070239103262,0:00:09.572611
3,0.2950087256194001,0.28179544525355404,0.877524796209292,0.8802870851981774,0:00:09.547557
4,0.28830315234840137,0.2820785278646445,0.8800546118941494,0.8805290109269788,0:00:09.568807
5,0.2869630164833829,0.29847671794368996,0.8820222463157049,0.8723841780573364,0:00:09.723108
6,0.27678118515114136,0.2759625587889028,0.884471750391519,0.882867626305391,0:00:09.547725
7,0.27407295067958426,0.2764823720430395,0.8861984499859454,0.884036933994597,0:00:09.521400
8,0.2697337713183423,0.2889129844109812,0.888085772798458,0.8831901939437926,0:00:09.548103
9,0.265397498032631,0.2735156454220915,0.8883668634301088,0.8845611064069998,0:00:09.491661
10,0.2620362617572789,0.291514008844013,0.8929847809500864,0.8875045361074151,0:00:09.631165
11,0.25998641683484575,0.28302144680949903,0.8925832229048709,0.8828273053505907,0:00:09.515594
12,0.25498564885176067,0.28556415186618883,0.894068987672168,0.8832305148985928,0:00:09.553808
13,0.25347919682272696,0.2810353717788307,0.8965988033570252,0.8882303132938189,0:00:09.559702
14,0.24938865413886882,0.28758713225690063,0.8982853471469301,0.8879883875650175,0:00:09.560754
15,0.24501960648556098,0.2873009142667514,0.8998112677187488,0.8823031329381881,0:00:09.670895
16,0.24468927714251584,0.28509430353020887,0.8984058145604947,0.8846417483166001,0:00:09.497159
17,0.24099590401709164,0.27485852483443995,0.899610488696141,0.8896012257570259,0:00:09.537712
18,0.23605106610312232,0.29976098952555724,0.9008151628317873,0.8868190798758114,0:00:09.545682
19,0.23514139752677218,0.2844741090292205,0.900413604786572,0.8898431514858272,0:00:09.546950
20,0.23244197389280688,0.2777091141636532,0.9026623298397785,0.8894802628926253,0:00:09.667099
21,0.22642616240907845,0.2843397773355821,0.9051921455246356,0.8872626103786138,0:00:09.534886
22,0.2259806956192038,0.2994436812155022,0.9041480946070756,0.8855288093222048,0:00:09.496459
23,0.22296559412764014,0.2859756924672609,0.9069590009235835,0.8890770533446232,0:00:09.495101
24,0.22042343945066736,0.28648396225684536,0.908766012127053,0.8878674247006169,0:00:09.495803
25,0.21922972111631564,0.2901589003866828,0.9070393125326266,0.8891173742994234,0:00:09.724029
26,0.2133396016780541,0.2904469908232212,0.9100911536762639,0.8878271037458167,0:00:09.590962
27,0.21121799093653204,0.30610316444053925,0.9101313094807855,0.8854884883674046,0:00:09.560457
28,0.20597035249405865,0.2822656231127036,0.9134642412560736,0.8903270029434297,0:00:09.568828
29,0.20605684409398653,0.2872401707967415,0.9119784764887764,0.8897221886214266,0:00:09.536373
30,0.20495536490146252,0.29990220919507093,0.9125005019475565,0.891738236361437,0:00:09.707397
31,0.20010614041262934,0.3141851841529697,0.9146689153917199,0.8912947058586347,0:00:09.651247
32,0.19682914302929466,0.3599026452644353,0.9149500060233707,0.8781097536389662,0:00:09.656644
33,0.1980011106991186,0.3394546260142214,0.9130225274063366,0.8900850772146285,0:00:09.658986
34,0.19159431047068082,0.31308060428768214,0.9159137453318877,0.8880287085198177,0:00:09.629445
35,0.19378293938313146,0.31776331098913474,0.9154318756776292,0.8893996209830248,0:00:09.025825
36,0.1868106096024136,0.3231367836597516,0.9194876119343051,0.8905689286722309,0:00:08.834957
37,0.18880438928484,0.318992281385419,0.9187648074529173,0.885770735051006,0:00:08.840570
38,0.1850026099534946,0.33379375739758926,0.9182829377986588,0.8896415467118262,0:00:08.870388
39,0.18631081630993482,0.34703853552004105,0.919045898084568,0.8903270029434297,0:00:08.875091
40,0.18348093081232209,0.3124726720600742,0.9213749347468176,0.8878271037458167,0:00:08.987883
41,0.1788043850848741,0.3319759876651059,0.9220575834236839,0.8875045361074151,0:00:08.868971
42,0.17406730843045592,0.3617944831310281,0.9223386740553347,0.8900044353050282,0:00:08.782024
43,0.17651782086685758,0.36429780563626124,0.9242661526723688,0.8850852788194025,0:00:08.767733
44,0.1722704543551581,0.34568756193128947,0.9235031923864595,0.8902866819886295,0:00:08.795060
45,0.17130294769992793,0.3473232087357264,0.9245873991085412,0.8910931010846337,0:00:08.930800
46,0.16882083240647805,0.3710996448710446,0.9258723848532305,0.885569130277005,0:00:08.807871
47,0.16494190031291975,0.34146861465330264,0.9261534754848814,0.8908108544010322,0:00:08.784504
48,0.16530042509781495,0.3245532595715725,0.9268762799662691,0.8906898915366317,0:00:08.767064
49,0.16743583238620258,0.34844227567979025,0.9263140987029674,0.8856497721866052,0:00:08.765463
50,0.156550105835702,0.37159549408909165,0.9302895233506003,0.8846417483166001,0:00:08.913114
51,0.1599598589935488,0.3530984045745601,0.9277195518612216,0.8888754485706222,0:00:08.813672
52,0.16045733894531128,0.35951686131701094,0.929084849214954,0.8906495705818313,0:00:08.826754
53,0.15343700299118376,0.3648674125367888,0.9313335742681604,0.8896415467118262,0:00:08.844964
54,0.15547623666330915,0.37970864837035107,0.9290446934104324,0.889036732389823,0:00:08.796384
55,0.15129558758425218,0.4023517888542214,0.9319359113359836,0.8887948066610218,0:00:08.907427
56,0.1529445480985688,0.3572912100382817,0.9298478095008633,0.8894802628926253,0:00:08.775357
57,0.15258547294268043,0.4065831525841748,0.9323374693811991,0.884036933994597,0:00:08.772319
58,0.1465770096974794,0.40056330692767145,0.9338633899530179,0.8891173742994234,0:00:08.806768
