epoch,loss_train,loss_test,f1_train,f1_test,duration
1,0.05372842746873151,0.2358349006075487,0.9840983014094687,0.932301116890448,0:00:09.021376
2,0.04939272144925328,0.21856325753760372,0.9859856242219813,0.93076892060804,0:00:08.916055
3,0.04863754105364158,0.33282290235091705,0.9859454684174598,0.930002822466836,0:00:08.822648
4,0.04780015391403744,0.2726077866685814,0.9865478054852829,0.9323414378452481,0:00:08.934248
5,0.04718227878454876,0.23046019659425632,0.9865076496807613,0.9324624007096488,0:00:09.234810
6,0.04634410538411764,0.24511625590844005,0.9867084287033691,0.9326236845288497,0:00:09.075852
7,0.04672202480516351,0.22193680356149262,0.9863871822671967,0.9321398330712471,0:00:08.934163
8,0.046159318537280704,0.27950302117306763,0.9864674938762398,0.9326236845288497,0:00:09.033340
9,0.04569057153824198,0.2496188433266894,0.9867084287033691,0.9316559816136446,0:00:09.042651
10,0.045511925558198524,0.2578717783837101,0.9874713889892784,0.9313334139752429,0:00:09.181487
11,0.04453424714179595,0.25281252532347653,0.986628117094326,0.9321398330712471,0:00:08.976990
12,0.044567221316266316,0.25091444193829554,0.9872706099666707,0.9298415386476351,0:00:08.900523
13,0.04437438216863194,0.2734886606010675,0.9867485845078906,0.9322607959356477,0:00:08.986506
14,0.04343886378347342,0.2751416283876114,0.9873910773802353,0.9325833635740495,0:00:08.991257
15,0.04334336742791625,0.3139456497840153,0.9873910773802353,0.9320591911616467,0:00:09.231898
16,0.04275399918496262,0.3196799147590919,0.9869493635304983,0.9315753397040442,0:00:08.996099
17,0.04331686692481974,0.2670459251670214,0.9873910773802353,0.9310108463368413,0:00:08.770692
18,0.04153624390531692,0.32023884988932655,0.9881540376661446,0.9316559816136446,0:00:08.873744
19,0.04137351054331946,0.28172563493837505,0.9881941934706662,0.9314543768396436,0:00:09.103028
20,0.04124143432931308,0.2885546165232075,0.98803357025258,0.9312124511108423,0:00:09.513675
21,0.039543949662820134,0.29955946740395156,0.9883146608842308,0.9319785492520463,0:00:09.315767
22,0.040998847373334986,0.2728735109538448,0.9878729470344938,0.9310914882464417,0:00:09.195514
23,0.040254352162520386,0.29237300575532,0.9879532586435369,0.9312930930204427,0:00:09.233613
24,0.038824326542997493,0.3038532620853542,0.9888366863430109,0.9316559816136446,0:00:09.216919
25,0.038739866054938434,0.32975785592408124,0.9887965305384894,0.9306076367888392,0:00:09.459678
26,0.03740476796148205,0.3109485704804385,0.9888768421475325,0.9315753397040442,0:00:09.273485
27,0.03932745383695379,0.3137340303739067,0.9882745050797093,0.9325833635740495,0:00:09.191584
28,0.037170620231733155,0.32065504862931005,0.9892784001927478,0.9312930930204427,0:00:09.298203
29,0.03832177682994927,0.37000354305949906,0.9885555957113601,0.9307285996532398,0:00:09.242880
30,0.03659673197498602,0.2841610366803502,0.9887563747339678,0.9316963025684448,0:00:09.494921
31,0.03630004486320742,0.330367739430191,0.9891980885837047,0.9306076367888392,0:00:09.155861
32,0.037010399933340404,0.40914815854567077,0.9890776211701402,0.9321398330712471,0:00:09.129094
33,0.03509435572366914,0.28962472440969245,0.9896799582379633,0.9310511672916415,0:00:09.278698
34,0.03464388602606168,0.3841438120719799,0.9895996466289202,0.929599612918834,0:00:09.279027
35,0.03395015228667404,0.3127563027421048,0.9898004256515279,0.9306479577436394,0:00:09.434037
36,0.03335436881849825,0.37775441219957756,0.9900413604786572,0.9320591911616467,0:00:09.081843
37,0.03340431394490028,0.3286553149517897,0.989880737260571,0.9286722309584291,0:00:09.010784
38,0.03457465003333791,0.3251700090932931,0.9895996466289202,0.9303253901052377,0:00:09.169135
39,0.03294507143011023,0.40517091211613554,0.9898405814560495,0.9317769444780453,0:00:09.210265
40,0.032212457896635585,0.41099447867491484,0.9900413604786572,0.9302447481956373,0:00:09.441120
41,0.032141151003370984,0.338100930716712,0.9904027627193511,0.9311318092012418,0:00:09.133948
42,0.032462995352060056,0.3232652374732123,0.9900413604786572,0.9312527720656425,0:00:09.036247
43,0.030623772142734297,0.33268292347011785,0.9905232301329158,0.9308495625176403,0:00:09.149291
44,0.03110069289741264,0.3649294308816403,0.9908043207645665,0.9308898834724406,0:00:09.075742
45,0.03022982405988009,0.3657083712842279,0.9902019836967434,0.9312124511108423,0:00:09.255907
46,0.030716278145261035,0.46160373124357,0.9907641649600449,0.9319382282972462,0:00:09.053337
47,0.030967348255067605,0.39064873026967956,0.9904027627193511,0.928067416636426,0:00:08.961749
48,0.030855458658099688,0.41193815939102185,0.9900012046741357,0.9308495625176403,0:00:09.051100
49,0.02997437338711633,0.4353389403383149,0.9904830743283942,0.9314543768396436,0:00:08.983232
50,0.030514904387067776,0.38655105723396027,0.9907641649600449,0.9296802548284343,0:00:09.247109
51,0.02952325275156502,0.4513182134300017,0.9907641649600449,0.9289141566872303,0:00:09.017519
52,0.030233648827939667,0.37313589772519135,0.9905633859374372,0.9304463529696383,0:00:08.914779
53,0.02970444308746302,0.45127942068462906,0.9912460346143035,0.9316156606588444,0:00:09.006511
54,0.028762358728207003,0.37850493504550653,0.9913665020278681,0.9314946977944438,0:00:09.025421
55,0.026802355870065027,0.3930502583043516,0.9922097739228205,0.9302850691504375,0:00:09.189990
56,0.028173570305250847,0.4105938538362717,0.9915271252459543,0.9314543768396436,0:00:08.976291
57,0.027585212597456474,0.43428617729268665,0.991647592659519,0.930002822466836,0:00:08.911201
58,0.02696337296905573,0.4452113108711117,0.9916074368549974,0.9303253901052377,0:00:09.020390
59,0.026534622001041175,0.37340182136602346,0.9922097739228205,0.9301641062860369,0:00:09.064996
60,0.027407721051997385,0.4857706268981212,0.9919688390956913,0.9301641062860369,0:00:09.204930
61,0.025803403163144414,0.47746185121046403,0.9919286832911698,0.9302850691504375,0:00:09.007354
62,0.026046756759166872,0.4741975436320865,0.9920089949002128,0.9297608967380347,0:00:08.923443
63,0.026691946872973774,0.5266744940081237,0.9917680600730836,0.9312124511108423,0:00:09.011571
64,0.027322042398531355,0.38434947281252635,0.9910452555916957,0.9287125519132293,0:00:09.044074
65,0.026183114570843283,0.44941250970465996,0.991647592659519,0.9283899842748277,0:00:09.244490
66,0.026174738956424786,0.4574305663078898,0.992169618118299,0.9298818596024354,0:00:08.993862
67,0.026658750258571694,0.47439926991816145,0.9922900855318636,0.929801217692835,0:00:08.915785
68,0.02509450790110604,0.4348553049668957,0.9923703971409067,0.9302044272408371,0:00:09.021890
69,0.02572081135336709,0.4419473952652363,0.9917680600730836,0.9301641062860369,0:00:09.032310
70,0.026260067963953197,0.36494683621906726,0.9924908645544713,0.9293980081448329,0:00:09.277249
71,0.025456413751398878,0.4720935970492965,0.9924507087499498,0.929801217692835,0:00:08.946825
72,0.02572869970434823,0.4119017314765707,0.992249929727342,0.9303253901052377,0:00:09.042114
73,0.024039024645574336,0.5715226567349794,0.9924908645544713,0.9278254909076247,0:00:08.955728
74,0.0238229325582902,0.45591355126181093,0.992249929727342,0.9307285996532398,0:00:08.971551
75,0.024270215605077607,0.4305696123588167,0.9930128900132514,0.9275432442240231,0:00:09.193495
76,0.02355140396122598,0.5247687247357168,0.9932538248403807,0.9316156606588444,0:00:08.923775
77,0.02440890921021626,0.4519614217384025,0.9926514877725575,0.9308898834724406,0:00:09.019133
78,0.024963534617692632,0.4600103834739353,0.992169618118299,0.9304060320148381,0:00:09.027489
79,0.023968583862773982,0.49516430099552483,0.992611331968036,0.9270190718116205,0:00:08.980977
80,0.024346538794023542,0.47776776443972774,0.992611331968036,0.9286319100036289,0:00:10.010152
81,0.022470307659432653,0.4552821958283607,0.9932136690358592,0.9303253901052377,0:00:09.661216
82,0.02385716712872219,0.4609740454189451,0.9928522667951653,0.9300834643764364,0:00:09.756200
83,0.024965737786634027,0.49650931749354965,0.9922097739228205,0.9303657110600378,0:00:09.789907
84,0.023679216736110908,0.4796351798210906,0.9933341364494238,0.9301641062860369,0:00:09.824975
85,0.021215539530557135,0.5002101251557108,0.9934947596675099,0.9275835651788235,0:00:10.001957
86,0.02349147033299031,0.4945611951132255,0.9932939806449023,0.9302044272408371,0:00:09.677602
87,0.023614169566237027,0.4648294350438811,0.9926514877725575,0.9312124511108423,0:00:09.820619
88,0.023789448657371842,0.4675111414093425,0.9930128900132514,0.9308495625176403,0:00:09.832186
89,0.022913294093840932,0.5077266925861209,0.9938160061036823,0.927704528043224,0:00:09.948950
90,0.022373760308040606,0.46777036237534086,0.9931333574268161,0.9285512680940284,0:00:10.191112
91,0.02223557450747914,0.5115433691316883,0.9933742922539454,0.9300834643764364,0:00:09.800850
92,0.023750479345170158,0.488123571369252,0.9930128900132514,0.925769122212814,0:00:09.857050
