epoch,loss_train,loss_test,f1_train,f1_test,duration
1,0.2832661910181019,0.25914230581538583,0.8846323736096052,0.8914559896778356,0:00:09.755657
2,0.26904793227132107,0.2575799981552207,0.889852628197406,0.8962541832990605,0:00:09.709849
3,0.26138664648147236,0.24951846388735094,0.8941894550857327,0.8981492681746702,0:00:09.467708
4,0.2554892729656993,0.2482748672116512,0.8965988033570252,0.8989960082254748,0:00:09.016544
5,0.25183575484657766,0.24759736087307624,0.8979239449062362,0.8977460586266682,0:00:09.224361
6,0.25001948417208664,0.24447487423450875,0.8995703328916195,0.9016571912422886,0:00:08.986392
7,0.24572604511110097,0.24400412097822907,0.9000923583503996,0.9021007217450909,0:00:09.048134
8,0.2425092681094679,0.24406540949742522,0.9000923583503996,0.8990766501350752,0:00:09.069691
9,0.2382001823534057,0.24636928930148952,0.9037866923663815,0.9016168702874884,0:00:09.017097
10,0.2378813911788883,0.251722939380848,0.9051921455246356,0.9021007217450909,0:00:09.044089
11,0.23435306620326202,0.24475320295512337,0.9047504316748987,0.9027861779766945,0:00:08.950908
12,0.23037971384507688,0.24036837051641796,0.9077621170140143,0.9016168702874884,0:00:08.924043
13,0.22719020783346497,0.26993387164283944,0.908766012127053,0.8995605015926778,0:00:08.932195
14,0.2250235411201022,0.24513215823675122,0.907360558968799,0.9036329180274988,0:00:08.944313
15,0.22046292773824538,0.24866363855280468,0.9106533349395655,0.9028668198862949,0:00:09.111919
16,0.2203271338412483,0.25121800902482005,0.9110950487893025,0.9029071408410951,0:00:09.079009
17,0.2155345340566627,0.26947284998782023,0.9125808135565996,0.8951655175194548,0:00:09.033640
18,0.21398887782093423,0.2526320269632575,0.9135847086696381,0.9020604007902907,0:00:08.990788
19,0.21190851551883486,0.24736460359987889,0.9131429948199012,0.9033909922986976,0:00:08.971736
20,0.2084963115575378,0.2561232818965077,0.915271252459543,0.9015362283778878,0:00:09.071887
21,0.20784749977520173,0.24881905647830085,0.9161948359635386,0.9031893875246966,0:00:08.951222
22,0.20463377776506694,0.2649429126343508,0.9161145243544955,0.903471634208298,0:00:08.955651
23,0.20165332868953503,0.31864696698408496,0.9170381078584909,0.8961735413894603,0:00:08.942228
24,0.19820675233065785,0.26399469387101815,0.9186041842348311,0.8998830692310794,0:00:08.919674
25,0.1980726030058633,0.2615067330087036,0.9200497931976067,0.9004072416434821,0:00:09.016539
26,0.19360618080719053,0.26424490475964724,0.9202505722202144,0.900568525462683,0:00:08.902575
27,0.1908431861320073,0.2747603221988482,0.9210536883106453,0.9022216846094915,0:00:08.906348
28,0.19002685468017474,0.2862549953705142,0.9226197646869855,0.9020200798354905,0:00:08.942540
29,0.186830325214735,0.27588534920978053,0.9222182066417701,0.9044796580783033,0:00:08.960195
30,0.18497586006894046,0.2653492484095803,0.9230213227322009,0.9031893875246966,0:00:09.072721
31,0.18406030431686307,0.28287789599787544,0.9243866200859334,0.9045602999879037,0:00:08.913966
32,0.18221094927467188,0.2765294508846504,0.9254306710034935,0.9013749445586872,0:00:08.900036
33,0.1792338943331284,0.26041170037526234,0.9257920732441874,0.9027458570218942,0:00:08.891848
